timestamp,model_type,backbone,epoch,loss,accuracy,val_loss,val_accuracy
2025-11-29T12:44:36,transfer,resnet50,1,0.6790883541107178,0.5676183104515076,0.6567839980125427,0.6199095249176025
2025-11-29T12:44:36,transfer,resnet50,2,0.6514587998390198,0.6476333737373352,0.6342782378196716,0.6312217116355896
2025-11-29T12:44:36,transfer,resnet50,3,0.6287253499031067,0.6649135947227478,0.6174328327178955,0.6289592981338501
2025-11-29T12:44:36,transfer,resnet50,4,0.6126313209533691,0.6577761173248291,0.6056732535362244,0.6266968250274658
2025-11-29T12:44:36,transfer,resnet50,5,0.601513147354126,0.6776859760284424,0.5999022722244263,0.6289592981338501
2025-11-29T12:44:36,transfer,resnet50,6,0.5944769382476807,0.6735537052154541,0.5953875780105591,0.6357465982437134
2025-11-29T12:44:36,transfer,resnet50,7,0.5919204354286194,0.6795642375946045,0.5930421352386475,0.6425339579582214
2025-11-29T12:44:36,transfer,resnet50,8,0.5929485559463501,0.6746807098388672,0.5918272137641907,0.6357465982437134
2025-11-29T12:44:36,transfer,resnet50,9,0.5850313901901245,0.6810668706893921,0.5909230709075928,0.6334841847419739
2025-11-29T12:44:36,transfer,resnet50,10,0.5843756198883057,0.6784372925758362,0.5895335078239441,0.6425339579582214
2025-11-29T12:44:36,transfer,resnet50,11,0.5844486951828003,0.6844477653503418,0.5887600779533386,0.6447963714599609
2025-11-29T12:44:36,transfer,resnet50,12,0.5805317759513855,0.6795642375946045,0.5877438187599182,0.6493212580680847
2025-11-29T12:44:36,transfer,resnet50,13,0.5818520188331604,0.6833208203315735,0.5868915319442749,0.651583731174469
2025-11-29T12:44:36,transfer,resnet50,14,0.5798579454421997,0.687453031539917,0.5868194103240967,0.651583731174469
2025-11-29T12:44:36,transfer,resnet50,15,0.5763524770736694,0.683696448802948,0.5883893966674805,0.6357465982437134
2025-11-29T12:44:36,transfer,resnet50,16,0.5793502926826477,0.6859503984451294,0.5860092639923096,0.6538461446762085
2025-11-29T12:44:36,transfer,resnet50,17,0.5779597163200378,0.6882043480873108,0.5839807987213135,0.6470588445663452
2025-11-29T12:44:36,transfer,resnet50,18,0.5787742733955383,0.6855747699737549,0.5830500721931458,0.651583731174469
2025-11-29T12:44:36,transfer,resnet50,19,0.5748715400695801,0.6919609308242798,0.5834904909133911,0.6538461446762085
2025-11-29T12:44:36,transfer,resnet50,20,0.5746245980262756,0.694966197013855,0.5812735557556152,0.6561086177825928
